Date,Month-Year,Warehouse Code,Warehouse Name,Warehouse Country,Warehouse City,Customer Code,Customer Country,Customer City,Location,GPS 1,GPS 2,Road,Rail,Sea,Air,Order Number,Units,KG,CO2 Road,CO2 Rail,CO2 Sea,CO2 Air,CO2 Total,Delivery Mode
2025-09-05 00:00:00.000,9-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001017-17,INDIA,GHAZIABAD,"INDIA, GHAZIABAD",0.0,0.0,70.0,50.0,0.0,80.0,ORD2025034,140.0,6370.0,42.806400000000004,8.918000000000001,0.0,1070.16,1121.8844000000001,"Road,Rail,,Air"
2025-12-05 00:00:00.000,12-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001026-26,INDIA,ROHTAK,"INDIA, ROHTAK",0.0,0.0,130.0,95.0,0.0,140.0,ORD2025043,170.0,17.0,0.21216,0.04522000000000001,0.0,4.998000000000001,5.2553800000000015,"Road,Rail,,Air"
2025-01-05 00:00:00.000,1-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001001-01,INDIA,BANGALORE,"INDIA, BANGALORE",12.9716,77.5946,2450.0,1800.0,0.0,1200.0,ORD2025001,15.0,0.75,0.17640000000000003,0.0378,0.0,1.8900000000000001,2.1042,"Road,Rail,,Air"
2025-02-08 00:00:00.000,2-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003001-01,INDIA,HYDERABAD,"INDIA, HYDERABAD",17.385,78.4867,850.0,620.0,0.0,800.0,ORD2025010,400.0,60.0,4.896,1.0415999999999999,0.0,100.80000000000001,106.73760000000001,"Road,Rail,,Air"
2025-07-08 00:00:00.000,7-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002014-14,INDIA,NAVI MUMBAI,"INDIA, NAVI MUMBAI",0.0,0.0,180.0,140.0,0.0,200.0,ORD2025029,360.0,43.199999999999996,0.7464959999999999,0.16934399999999997,0.0,18.144,19.059839999999998,"Road,Rail,,Air"
2025-12-28 00:00:00.000,12-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001010-10,UNITED ARAB EMIRATES,ABU DHABI,"UNITED ARAB EMIRATES, ABU DHABI",24.4539,54.3773,0.0,0.0,2300.0,2210.0,ORD2025046,980.0,107.8,0.0,0.0,2.4794,500.29979999999995,502.77919999999995,",,Sea,Air"
2025-01-20 00:00:00.000,1-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001004-04,INDIA,AHMEDABAD,"INDIA, AHMEDABAD",23.0225,72.5714,850.0,650.0,0.0,900.0,ORD2025007,280.0,30.8,2.51328,0.56056,0.0,58.21200000000001,61.28584000000001,"Road,Rail,,Air"
2025-05-02 00:00:00.000,5-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001009-09,INDIA,INDORE,"INDIA, INDORE",22.7196,75.8577,420.0,300.0,0.0,450.0,ORD2025021,310.0,21.700000000000003,0.8749440000000003,0.18228000000000005,0.0,20.506500000000006,21.563724000000008,"Road,Rail,,Air"
2025-05-06 00:00:00.000,5-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002010-10,INDIA,THANE,"INDIA, THANE",0.0,0.0,200.0,150.0,0.0,220.0,ORD2025022,260.0,23.4,0.44927999999999996,0.09827999999999999,0.0,10.8108,11.358360000000001,"Road,Rail,,Air"
2025-05-20 00:00:00.000,5-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001002-02,UNITED ARAB EMIRATES,ABU DHABI,"UNITED ARAB EMIRATES, ABU DHABI",24.4539,54.3773,0.0,0.0,2200.0,2100.0,ORD2025024,150.0,12.0,0.0,0.0,0.264,52.92,53.184000000000005,",,Sea,Air"
2025-09-20 00:00:00.000,9-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,7001006-06,UNITED ARAB EMIRATES,DUBAI,"UNITED ARAB EMIRATES, DUBAI",25.2048,55.2708,0.0,0.0,2350.0,2280.0,ORD2025036,950.0,2137.5,0.0,0.0,50.23125,10234.35,10284.581250000001,",,Sea,Air"
2025-02-05 00:00:00.000,2-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002004-04,INDIA,AHMEDABAD,"INDIA, AHMEDABAD",23.0225,72.5714,650.0,480.0,0.0,700.0,ORD2025009,95.0,4322.5,269.724,58.09439999999999,0.0,6354.075,6681.8934,"Road,Rail,,Air"
2025-02-12 00:00:00.000,2-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001006-06,INDIA,LUCKNOW,"INDIA, LUCKNOW",26.8467,80.9462,520.0,380.0,0.0,600.0,ORD2025011,25.0,1.25,0.062400000000000004,0.013300000000000001,0.0,1.5750000000000002,1.6507000000000003,"Road,Rail,,Air"
2025-03-10 00:00:00.000,3-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003003-03,INDIA,KOCHI,"INDIA, KOCHI",9.9312,76.2673,1200.0,880.0,600.0,900.0,ORD2025016,270.0,24.3,2.7993600000000005,0.5987520000000001,0.1458,45.92700000000001,49.470912000000006,"Road,Rail,Sea,Air"
2025-01-18 00:00:00.000,1-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002003-03,INDIA,PUNE,"INDIA, PUNE",18.5204,73.8567,450.0,330.0,0.0,350.0,ORD2025006,220.0,17.6,0.7603200000000001,0.16262400000000002,0.0,12.936000000000002,13.858944000000001,"Road,Rail,,Air"
2025-08-20 00:00:00.000,8-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001005-05,UNITED ARAB EMIRATES,DUBAI,"UNITED ARAB EMIRATES, DUBAI",25.2048,55.2708,0.0,0.0,2050.0,2180.0,ORD2025033,750.0,82.5,0.0,0.0,1.6912500000000001,377.685,379.37625,",,Sea,Air"
2025-03-01 00:00:00.000,3-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003002-02,INDIA,COIMBATORE,"INDIA, COIMBATORE",11.0026,76.9124,550.0,400.0,0.0,700.0,ORD2025013,520.0,52.0,2.7456,0.5824,0.0,76.44,79.768,"Road,Rail,,Air"
2025-03-08 00:00:00.000,3-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002006-06,INDIA,NASHIK,"INDIA, NASHIK",19.9975,73.7898,320.0,240.0,0.0,300.0,ORD2025015,190.0,13.3,0.40857600000000005,0.08937600000000001,0.0,8.379000000000001,8.876952000000001,"Road,Rail,,Air"
2025-07-18 00:00:00.000,7-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,7001004-04,UNITED ARAB EMIRATES,ABU DHABI,"UNITED ARAB EMIRATES, ABU DHABI",24.4539,54.3773,0.0,0.0,2300.0,2250.0,ORD2025030,480.0,43.199999999999996,0.0,0.0,0.9935999999999999,204.11999999999998,205.11359999999996,",,Sea,Air"
2025-06-01 00:00:00.000,6-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003011-11,INDIA,TIRUPATI,"INDIA, TIRUPATI",0.0,0.0,700.0,500.0,0.0,750.0,ORD2025025,200.0,9100.0,611.52,127.4,0.0,14332.5,15071.42,"Road,Rail,,Air"
2025-06-15 00:00:00.000,6-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001003-03,UNITED ARAB EMIRATES,DUBAI,"UNITED ARAB EMIRATES, DUBAI",25.2048,55.2708,0.0,0.0,2100.0,2150.0,ORD2025027,420.0,33.6,0.0,0.0,0.7056000000000002,151.70400000000004,152.40960000000004,",,Sea,Air"
2025-01-10 00:00:00.000,1-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001003-03,INDIA,PUNE,"INDIA, PUNE",18.5204,73.8567,1650.0,1200.0,0.0,1400.0,ORD2025003,200.0,14.000000000000002,2.2176000000000005,0.47040000000000004,0.0,41.160000000000004,43.848000000000006,"Road,Rail,,Air"
2025-02-02 00:00:00.000,2-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001005-05,INDIA,JAIPUR,"INDIA, JAIPUR",26.9124,75.7873,250.0,180.0,0.0,250.0,ORD2025008,120.0,5460.0,131.04,27.5184,0.0,2866.5,3025.0584,"Road,Rail,,Air"
2025-04-10 00:00:00.000,4-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003004-04,INDIA,COIMBATORE,"INDIA, COIMBATORE",11.0026,76.9124,550.0,400.0,0.0,700.0,ORD2025019,600.0,60.0,3.168,0.672,0.0,88.2,92.04,"Road,Rail,,Air"
2025-08-02 00:00:00.000,8-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003015-15,INDIA,MYSORE,"INDIA, MYSORE",0.0,0.0,120.0,90.0,0.0,130.0,ORD2025031,210.0,14.700000000000001,0.16934400000000002,0.03704400000000001,0.0,4.0131000000000006,4.219488,"Road,Rail,,Air"
2025-08-10 00:00:00.000,8-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001016-16,INDIA,DELHI,"INDIA, DELHI",28.7041,77.1025,50.0,40.0,0.0,60.0,ORD2025032,60.0,3.0,0.0144,0.00336,0.0,0.378,0.39576,"Road,Rail,,Air"
2025-09-12 00:00:00.000,9-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002018-18,INDIA,AKOLA,"INDIA, AKOLA",0.0,0.0,600.0,430.0,0.0,650.0,ORD2025035,320.0,48.0,2.7648,0.57792,0.0,65.52,68.86272,"Road,Rail,,Air"
2025-10-11 00:00:00.000,10-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002020-20,INDIA,RATNAGIRI,"INDIA, RATNAGIRI",0.0,0.0,520.0,380.0,0.0,540.0,ORD2025038,410.0,49.199999999999996,2.4560639999999996,0.523488,0.0,55.7928,58.772352,"Road,Rail,,Air"
2025-12-12 00:00:00.000,12-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001009-09,UNITED ARAB EMIRATES,DUBAI,"UNITED ARAB EMIRATES, DUBAI",25.2048,55.2708,0.0,0.0,2150.0,2170.0,ORD2025044,520.0,46.8,0.0,0.0,1.0062,213.2676,214.2738,",,Sea,Air"
2025-10-03 00:00:00.000,10-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001019-19,INDIA,SONIPAT,"INDIA, SONIPAT",0.0,0.0,90.0,60.0,0.0,100.0,ORD2025037,130.0,13.0,0.11231999999999999,0.02184,0.0,2.7300000000000004,2.8641600000000005,"Road,Rail,,Air"
2025-02-15 00:00:00.000,2-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002005-05,INDIA,SURAT,"INDIA, SURAT",21.1702,72.8311,380.0,280.0,0.0,400.0,ORD2025012,280.0,22.400000000000002,0.8171520000000001,0.17561600000000002,0.0,18.816000000000003,19.808768000000004,"Road,Rail,,Air"
2025-03-05 00:00:00.000,3-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001007-07,INDIA,KANPUR,"INDIA, KANPUR",26.4499,80.3319,680.0,500.0,0.0,700.0,ORD2025014,380.0,45.6,2.9767680000000003,0.6384000000000001,0.0,67.03200000000001,70.64716800000001,"Road,Rail,,Air"
2025-11-15 00:00:00.000,11-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001024-24,INDIA,MEERUT,"INDIA, MEERUT",0.0,0.0,110.0,80.0,0.0,120.0,ORD2025041,90.0,4.5,0.04751999999999999,0.01008,0.0,1.134,1.1916,"Road,Rail,,Air"
2025-04-03 00:00:00.000,4-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001008-08,INDIA,CHANDIGARH,"INDIA, CHANDIGARH",30.7333,76.7794,300.0,220.0,0.0,300.0,ORD2025017,45.0,2.25,0.0648,0.013859999999999999,0.0,1.4175,1.49616,"Road,Rail,,Air"
2025-04-07 00:00:00.000,4-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002007-07,INDIA,PUNE,"INDIA, PUNE",18.5204,73.8567,450.0,330.0,0.0,350.0,ORD2025018,320.0,25.6,1.1059200000000002,0.236544,0.0,18.816000000000003,20.158464000000002,"Road,Rail,,Air"
2025-04-15 00:00:00.000,4-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003005-05,INDIA,KOCHI,"INDIA, KOCHI",9.9312,76.2673,1200.0,880.0,600.0,900.0,ORD2025020,420.0,50.4,5.806080000000001,1.241856,0.3024,95.256,102.606336,"Road,Rail,Sea,Air"
2025-12-20 00:00:00.000,12-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003030-30,INDIA,TIRUPATI,"INDIA, TIRUPATI",0.0,0.0,700.0,500.0,0.0,750.0,ORD2025045,410.0,61.5,4.1328,0.861,0.0,96.8625,101.85629999999999,"Road,Rail,,Air"
